0.84,0.64,0.16,-4.21,23.38,190.35,31.60
0.84,0.61,0.17,1.11,23.57,199.29,31.60
0.84,0.60,0.18,5.67,23.57,207.85,31.60
0.84,0.58,0.18,8.79,23.38,215.98,31.60
0.84,0.55,0.17,9.67,22.95,227.04,31.60
0.84,0.53,0.17,7.67,22.70,233.48,31.60
0.84,0.51,0.16,3.86,22.51,238.85,31.60
0.84,0.47,0.15,-1.27,22.45,243.17,31.61
0.84,0.43,0.15,-7.08,22.32,246.35,31.61
0.84,0.39,0.15,-12.83,22.01,249.60,31.61
0.84,0.33,0.14,-19.71,21.70,251.29,31.61
0.85,0.29,0.15,-21.89,21.51,253.10,31.61
0.86,0.26,0.15,-21.77,21.51,255.48,31.61
0.86,0.24,0.16,-19.21,21.88,258.73,31.61
0.87,0.22,0.16,-14.71,22.51,263.10,31.61
0.88,0.21,0.18,-5.96,23.20,271.54,31.61
0.89,0.19,0.18,-0.08,23.20,277.92,31.61
0.89,0.16,0.19,5.04,22.63,284.23,31.61
0.89,0.13,0.19,9.23,21.70,290.10,31.61
0.88,0.09,0.19,12.73,20.63,295.23,31.61
0.88,0.03,0.19,16.54,19.26,301.10,31.61
0.87,-0.01,0.19,17.92,18.95,303.60,31.61
0.86,-0.05,0.19,18.11,19.13,304.98,31.61
0.85,-0.09,0.19,17.04,19.76,305.35,31.61
0.83,-0.12,0.19,14.79,20.63,304.79,31.61
0.82,-0.14,0.19,11.61,21.95,302.98,31.61
0.81,-0.17,0.20,6.36,22.70,301.54,31.61
0.80,-0.20,0.20,3.73,23.32,300.35,31.61
0.79,-0.22,0.19,2.67,24.13,299.67,31.61
0.78,-0.25,0.19,3.36,25.13,299.35,31.61
0.77,-0.27,0.18,5.42,26.51,299.29,31.61
0.76,-0.31,0.19,8.73,29.01,298.92,31.61
0.76,-0.33,0.19,9.92,30.82,298.17,31.61
0.75,-0.35,0.21,10.04,32.57,297.04,31.61
0.74,-0.38,0.22,9.36,34.13,295.35,31.61
0.74,-0.40,0.24,8.11,35.20,293.17,31.61
0.73,-0.44,0.27,5.92,35.57,288.79,31.57
0.72,-0.48,0.30,4.67,35.01,285.10,31.57
0.71,-0.51,0.32,4.04,33.88,280.92,31.57
0.71,-0.54,0.34,4.17,32.26,276.17,31.57
0.70,-0.57,0.36,5.17,30.32,271.10,31.57
0.70,-0.60,0.37,6.86,26.88,263.04,31.57
0.69,-0.63,0.38,10.04,24.57,257.67,31.57
0.69,-0.65,0.38,12.29,22.45,252.29,31.57
0.68,-0.67,0.37,14.61,20.63,247.04,31.57
0.68,-0.68,0.36,16.86,19.45,241.92,31.57
0.68,-0.69,0.34,18.86,18.88,236.85,31.57
