0.89,0.75,-0.34,8.36,8.45,72.04,31.53
0.89,0.73,-0.34,8.04,9.38,79.42,31.53
0.89,0.72,-0.33,7.36,10.38,86.48,31.53
0.89,0.71,-0.33,6.29,11.51,93.35,31.53
0.90,0.69,-0.32,4.61,13.38,103.35,31.53
0.90,0.68,-0.31,3.54,14.57,109.85,31.53
0.91,0.66,-0.31,2.67,15.57,116.10,31.53
0.91,0.65,-0.31,1.79,16.38,122.10,31.53
0.91,0.63,-0.30,0.67,17.13,127.92,31.53
0.91,0.60,-0.30,-2.08,18.07,136.29,31.53
0.91,0.59,-0.29,-4.52,18.57,141.67,31.53
0.92,0.57,-0.28,-6.89,18.76,146.98,31.53
0.92,0.56,-0.27,-8.64,18.63,152.17,31.53
0.93,0.55,-0.27,-9.52,18.13,157.04,31.53
0.93,0.54,-0.27,-9.02,17.07,163.92,31.55
0.93,0.53,-0.27,-7.89,16.51,168.04,31.55
0.93,0.51,-0.28,-6.52,16.20,171.85,31.55
0.93,0.50,-0.29,-5.21,16.26,175.48,31.55
0.93,0.49,-0.30,-3.83,16.63,178.92,31.55
0.93,0.47,-0.30,-2.21,17.20,182.10,31.55
0.92,0.45,-0.31,1.48,17.95,186.35,31.55
0.92,0.43,-0.31,4.73,18.32,188.67,31.55
0.91,0.40,-0.31,7.98,18.57,190.48,31.55
0.90,0.38,-0.30,10.48,18.95,191.73,31.55
0.89,0.34,-0.30,11.42,19.51,192.42,31.55
0.88,0.29,-0.28,9.17,20.88,192.54,31.55
0.87,0.26,-0.27,5.48,21.88,192.10,31.55
0.87,0.23,-0.24,0.42,22.51,191.10,31.55
0.87,0.20,-0.22,-5.39,22.51,189.54,31.55
0.87,0.18,-0.20,-11.27,21.76,187.42,31.55
0.88,0.16,-0.18,-16.27,19.51,183.35,31.55
0.89,0.13,-0.17,-20.39,17.38,180.10,31.55
0.90,0.11,-0.17,-20.14,14.95,176.60,31.55
0.91,0.09,-0.19,-17.89,12.38,172.79,31.55
0.91,0.07,-0.21,-14.27,10.01,168.85,31.55
0.91,0.05,-0.23,-10.21,8.26,164.73,31.55
0.90,0.01,-0.25,-5.33,7.45,158.54,31.55
0.90,-0.01,-0.26,-3.64,8.26,154.35,31.55
0.90,-0.03,-0.27,-3.14,9.88,150.23,31.55
0.90,-0.04,-0.26,-3.46,12.01,146.10,31.55
0.91,-0.04,-0.25,-3.96,14.26,142.10,31.55
0.91,-0.05,-0.24,-4.21,17.07,136.42,31.55
0.92,-0.05,-0.23,-3.96,18.26,132.92,31.55
0.92,-0.04,-0.23,-3.46,18.82,129.85,31.56
0.93,-0.03,-0.21,-2.83,18.70,127.10,31.56
0.94,-0.03,-0.20,-2.14,17.88,124.85,31.56
0.94,-0.02,-0.19,-1.46,15.95,122.54,31.56
0.95,-0.00,-0.17,-0.39,14.51,121.73,31.56
0.95,0.01,-0.17,0.36,13.20,121.54,31.56
0.96,0.02,-0.17,0.98,12.32,121.92,31.56
0.96,0.03,-0.17,1.54,11.88,123.04,31.56
0.96,0.05,-0.18,1.79,12.01,124.92,31.56
0.97,0.07,-0.19,1.17,13.13,129.35,31.56
0.98,0.08,-0.20,-0.02,14.20,133.29,31.56
0.98,0.10,-0.21,-1.52,15.51,137.79,31.56
0.99,0.11,-0.21,-2.77,16.76,142.54,31.56
0.99,0.12,-0.21,-3.14,17.82,147.29,31.56
1.00,0.12,-0.22,-1.08,18.76,153.79,31.56
1.00,0.12,-0.22,2.29,18.76,157.48,31.56
1.00,0.12,-0.22,6.86,18.38,160.79,31.56
