-0.09,1.04,0.08,2.79,5.88,-16.52,31.45
-0.09,1.03,0.08,2.29,7.95,-16.96,31.45
-0.09,1.03,0.08,2.17,9.26,-17.40,31.45
-0.10,1.02,0.08,2.04,10.63,-17.96,31.45
-0.10,1.02,0.08,1.86,11.95,-18.58,31.45
-0.10,1.01,0.08,1.54,13.20,-19.08,31.45
-0.09,1.01,0.08,1.11,14.45,-19.46,31.45
-0.09,1.00,0.08,0.04,16.32,-19.65,31.45
-0.09,1.00,0.08,-0.83,17.70,-19.52,31.45
-0.09,1.00,0.09,-1.71,19.26,-19.27,31.45
-0.09,0.99,0.09,-2.52,20.95,-18.96,31.45
-0.09,0.99,0.09,-3.14,22.82,-18.58,31.45
-0.09,0.98,0.09,-4.02,25.88,-18.08,31.45
-0.09,0.98,0.09,-4.52,28.07,-17.77,31.45
-0.10,0.97,0.08,-5.08,30.32,-17.46,31.45
-0.10,0.96,0.08,-5.83,32.51,-17.21,31.45
-0.10,0.96,0.07,-6.83,34.63,-16.90,31.45
-0.10,0.95,0.06,-8.08,37.45,-16.40,31.49
-0.10,0.94,0.05,-10.39,38.88,-15.90,31.49
-0.11,0.93,0.04,-12.08,40.07,-15.21,31.49
-0.11,0.92,0.03,-13.64,41.01,-14.33,31.49
-0.11,0.91,0.02,-14.89,41.76,-13.33,31.49
-0.11,0.90,0.02,-15.77,42.51,-12.21,31.49
-0.11,0.90,0.01,-16.14,43.76,-10.40,31.49
-0.11,0.89,0.00,-15.83,44.76,-9.21,31.49
-0.11,0.89,-0.00,-15.33,45.88,-8.02,31.49
-0.11,0.89,-0.01,-14.83,47.07,-6.77,31.49
-0.11,0.88,-0.01,-14.46,48.38,-5.52,31.49
-0.11,0.87,-0.02,-14.46,50.13,-3.58,31.49
-0.11,0.87,-0.03,-14.83,51.20,-2.08,31.49
-0.11,0.86,-0.04,-15.39,52.13,-0.46,31.49
-0.11,0.86,-0.04,-16.08,52.88,1.23,31.49
-0.11,0.86,-0.05,-16.77,53.57,3.04,31.49
-0.12,0.85,-0.06,-17.27,54.45,5.73,31.49
-0.12,0.85,-0.07,-17.83,54.95,7.29,31.49
-0.13,0.85,-0.08,-17.96,55.32,8.60,31.49
-0.13,0.85,-0.09,-18.02,55.45,9.67,31.49
-0.13,0.85,-0.10,-17.96,55.32,10.54,31.49
-0.13,0.85,-0.10,-17.71,54.95,11.35,31.49
-0.13,0.84,-0.11,-17.08,54.13,12.79,31.49
-0.13,0.84,-0.11,-16.46,53.51,13.92,31.49
-0.13,0.83,-0.11,-15.71,52.88,15.23,31.49
-0.13,0.82,-0.11,-14.77,52.32,16.67,31.49
-0.13,0.82,-0.11,-13.71,51.95,18.23,31.49
-0.13,0.81,-0.10,-12.14,51.57,20.85,31.49
-0.13,0.80,-0.10,-11.27,51.57,22.73,31.49
-0.12,0.80,-0.09,-10.71,51.76,24.73,31.49
-0.12,0.79,-0.09,-10.64,52.26,26.79,31.47
-0.12,0.79,-0.08,-11.14,52.95,28.85,31.47
-0.12,0.80,-0.08,-12.33,54.45,31.98,31.47
-0.12,0.80,-0.08,-15.08,55.51,33.92,31.47
-0.12,0.80,-0.08,-17.46,56.57,35.73,31.47
-0.13,0.80,-0.09,-20.02,57.51,37.54,31.47
-0.13,0.79,-0.09,-22.52,58.20,39.23,31.47
-0.13,0.79,-0.10,-24.71,58.70,41.04,31.47
-0.13,0.78,-0.11,-27.14,59.13,43.92,31.47
-0.14,0.77,-0.12,-28.02,59.32,46.04,31.47
-0.14,0.77,-0.12,-28.52,59.51,48.29,31.47
-0.14,0.77,-0.12,-28.83,59.63,50.67,31.47
-0.14,0.77,-0.12,-29.14,59.70,53.10,31.47
-0.14,0.77,-0.13,-29.52,59.57,56.60,31.47
-0.15,0.77,-0.13,-29.89,59.45,58.85,31.47
-0.15,0.77,-0.13,-30.21,59.26,60.98,31.47
-0.15,0.77,-0.14,-30.64,59.07,63.10,31.47
-0.14,0.77,-0.14,-31.14,58.95,65.29,31.47
-0.14,0.77,-0.15,-31.58,58.76,68.92,31.47
